,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid,cc_1_pred,cc_1_valid,cc_2_pred,cc_2_valid
0,-1.6630611,1.2161642,-1.3439046,-1.1774145,-0.22454616,0.1801865,1.315998397637355,0.55640996,-0.4597185084110848
1,-1.6537595,-1.6630611,-1.6441827,-0.22454616,1.2106922,-65.43448,-1.3194875525638625,0.21244586,1.1872184055264952
2,-1.6181431,-1.6537595,-1.5819852,1.2106922,-1.6514189,-0.24830061,-0.681031635166406,0.35379547,-0.8578590473690959
3,-1.5061634,-1.6181431,-1.4943292,-1.6514189,-1.6122953,-0.88941365,0.8967716573624795,0.23471725,0.5766406739516146
4,-1.1426644,-1.5061634,-1.1194212,-1.6122953,-1.4649597,-0.5260511,0.044538883294807284,0.2960624,0.759049194951353
5,-0.24971727,-1.1426644,-0.09018941,-1.4649597,-1.0364584,-0.0972659,1.3450740434092359,0.27367362,0.38199175945462693
6,1.0542927,-0.24971727,1.0171559,-1.0364584,0.036475617,-0.072294265,-1.4318014994467418,0.23252141,1.0618080258755083
7,-0.26564136,1.0542927,-1.0313919,0.036475617,0.5349164,0.09029025,-1.0731661668612542,0.34287992,-0.4431810110732585
8,0.7397302,-0.26564136,0.6975927,0.5349164,0.49327874,-1.7354503,0.05894398182007913,0.06408179,1.2032734213706444
9,-0.15664814,0.7397302,0.06041698,0.49327874,0.8959679,-1.089709,1.3394905478501313,0.24105439,-0.914028284121202
10,1.1844981,-0.15664814,1.160353,0.8959679,-0.828299,-0.043825656,-1.4100552391641499,0.31094015,0.4558709214964531
11,-1.2159593,1.1844981,-1.2359853,-0.828299,0.4329688,0.04330486,-0.9945648228619661,0.26419142,0.9590039576845277
12,-0.31031495,-1.2159593,-0.34393424,0.4329688,0.8159296,-0.9251098,0.2603682798052421,0.1494661,-0.13509109417267937
13,0.49472916,-0.31031495,0.57853186,0.8159296,-0.17895882,-1.0175195,1.202346553523042,-0.09103209,1.3666479250026207
