,r2,L
5,0.8117647348695516,0.01778279410038923
6,0.8736675205367518,0.01778279410038923
7,0.8586415685226123,0.01778279410038923
8,0.8484317868198384,0.01778279410038923
9,0.8608591344413833,0.01778279410038923
10,0.8433125001519215,0.01778279410038923
11,0.8072140340452952,0.01778279410038923
12,0.9676438077274535,0.01778279410038923
13,0.8716666505259277,0.01778279410038923
14,0.7998610299270617,0.01778279410038923
0,0.7824933663166502,0.03162277660168379
1,0.7606794573408105,0.03162277660168379
2,0.789112540532268,0.03162277660168379
3,0.7953630094602778,0.03162277660168379
4,0.7254645092984006,0.03162277660168379
5,0.7280418166225091,0.03162277660168379
6,0.8291470246571283,0.03162277660168379
7,0.7899919182842338,0.03162277660168379
8,0.8042479856360599,0.03162277660168379
9,0.7708565298156762,0.03162277660168379
10,0.7397657353533158,0.03162277660168379
11,0.6213013297948294,0.03162277660168379
12,0.9283714185097472,0.03162277660168379
13,0.8219730523104247,0.03162277660168379
14,0.724730540653052,0.03162277660168379
0,0.6863285915166224,0.05623413251903491
1,0.6837204744623725,0.05623413251903491
2,0.6536445165217964,0.05623413251903491
3,0.6699159540971414,0.05623413251903491
4,0.6340196860846932,0.05623413251903491
5,0.6408662645596022,0.05623413251903491
6,0.7278300378846448,0.05623413251903491
7,0.7223961215198734,0.05623413251903491
8,0.7273999186188483,0.05623413251903491
9,0.6832756396761819,0.05623413251903491
10,0.5718398653719682,0.05623413251903491
11,0.612446437534215,0.05623413251903491
12,0.8998204262106635,0.05623413251903491
13,0.7420181742762599,0.05623413251903491
14,0.6451332772923679,0.05623413251903491
0,0.48243809168990176,0.1
1,0.4745824983050793,0.1
2,0.48286907075105245,0.1
3,0.461944459147276,0.1
4,0.5866217806227394,0.1
5,0.539873765193649,0.1
6,0.6395964458195889,0.1
7,0.66183353810304,0.1
8,0.5327084464627134,0.1
9,0.5943847610594976,0.1
10,0.3826897440575471,0.1
11,0.5979188458665936,0.1
12,0.6796916370274755,0.1
13,0.5522941173294945,0.1
14,0.5386504315260077,0.1
0,0.36414578393280633,0.1778279410038923
1,0.31859916431446084,0.1778279410038923
2,0.5456107430668751,0.1778279410038923
3,0.436221453097226,0.1778279410038923
4,0.4572976856720737,0.1778279410038923
5,0.2849171353322707,0.1778279410038923
6,0.3833204689846871,0.1778279410038923
7,0.4787985405717848,0.1778279410038923
8,0.4732232696198047,0.1778279410038923
9,0.48677017027917246,0.1778279410038923
10,0.2611806931412728,0.1778279410038923
11,0.301073514800113,0.1778279410038923
12,0.46187260013954773,0.1778279410038923
13,0.38063983837407805,0.1778279410038923
14,0.4724468810132021,0.1778279410038923
0,0.2882836433407432,0.31622776601683794
1,0.15495139196457025,0.31622776601683794
2,0.24654323882806942,0.31622776601683794
3,0.2893593990014826,0.31622776601683794
4,0.18916499495899222,0.31622776601683794
5,0.3221817785399371,0.31622776601683794
6,0.2341042179859389,0.31622776601683794
7,0.39560717624470004,0.31622776601683794
8,0.38177019626932696,0.31622776601683794
9,0.3272030227492291,0.31622776601683794
10,0.17420849916609454,0.31622776601683794
11,0.17958013806791676,0.31622776601683794
12,0.07182864006552347,0.31622776601683794
13,0.16173164043224,0.31622776601683794
14,0.3537150027767245,0.31622776601683794
0,0.18040246411578842,0.5623413251903491
1,0.16035701691207555,0.5623413251903491
2,0.12643203053221339,0.5623413251903491
3,0.12236219608153034,0.5623413251903491
4,0.15666334944290128,0.5623413251903491
5,0.13566915026218593,0.5623413251903491
6,0.12306042375536859,0.5623413251903491
7,0.18648235399431126,0.5623413251903491
8,0.12124945634736757,0.5623413251903491
9,0.19057603157965092,0.5623413251903491
10,0.2178457868190352,0.5623413251903491
11,0.09843351062438985,0.5623413251903491
12,0.22683304856419353,0.5623413251903491
13,0.14951892074291914,0.5623413251903491
14,0.19433218746532585,0.5623413251903491
0,0.1685741974959027,1.0
1,0.15957402487349157,1.0
2,0.17462492207647148,1.0
3,0.13857818153853005,1.0
4,0.13545530309225362,1.0
5,0.05265728364281835,1.0
6,0.10473385347277443,1.0
7,0.14347504519831972,1.0
8,0.11286878665097991,1.0
