,r_predict,r_reconst
0,0.9250620572584854,-0.2242587528302423
1,0.9972416356426423,-0.9846543152992343
2,0.9954840141195196,0.981270714096941
3,0.9955959009313473,-0.9726657080458355
4,0.9971120702194954,0.9848041679910351
5,0.9256138222143604,0.24264295451034262
6,0.9254506834271651,0.44359869797398926
7,0.9252052475244099,-0.04258981716548381
8,0.9259108779895736,0.3664953078963741
9,0.9963360809504763,-0.9786523098610003
10,0.9254461436750245,0.39323952451159516
11,0.9957481098188373,-0.9740389538317421
12,0.9963373916786585,-0.9845793482000493
13,0.9251521162216865,-0.15149067632973495
14,0.9951051819660325,-0.9692855051350631
15,0.9958720660227504,0.9770253502109799
16,0.9964575897170538,0.9807072036126997
17,0.991429099215459,-0.9815389647066592
18,0.9250126675654586,0.398738041074115
19,0.9924948086693065,0.9779481795180535
20,0.9254547715678255,-0.11960059684469675
21,0.9950228225475108,0.9718048039225803
22,0.9924096662611666,0.9767383706800336
23,0.9249654953333115,-0.16827857965075085
24,0.925502802387458,0.02587610036537633
25,0.9924208260533681,-0.9783769064968542
26,0.9947119389952063,-0.9714089044438504
27,0.9255058897845662,0.036426207959766414
28,0.9966861381666415,-0.9822326355934394
29,0.9066048410031243,-0.009678374281604032
30,0.9255056647510739,-0.11646912703265658
31,0.997174165114832,-0.9857896931741699
32,0.925586835738294,0.45704317130292116
33,0.9254351779108236,0.2944043918235409
34,0.9955185725203674,-0.9764518252790609
35,0.9250938069836511,0.07782784741679005
36,0.9968980363229207,-0.9822901020237784
37,0.9254456698266517,0.4867166862019281
38,0.9256661626691202,0.3472871612721454
39,0.9251166798733927,-0.2047349983166933
40,0.9916246077664775,0.9779425387591943
41,0.9953971553251652,0.9728369225408287
42,0.9966775691900667,-0.9817700925181679
43,0.9254119623823996,-0.07796966132685412
44,0.9255319666682389,0.3436894446106244
45,0.9966541883954395,-0.9801653766172858
46,0.9255052978141227,0.4878176893067869
47,0.9250593195099225,-0.15170956556682896
48,0.9250563630909509,-0.07924793993005758
49,0.9969827800432786,-0.983703758303199
