,cc_pred,cc_valid,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid
0,0.21236455,-0.9398401190109135,0.5714929,-0.8932774,0.5854256,-1.0758588,0.17223002
1,0.7105539,0.4034215425148753,0.07117024,0.5714929,0.07225689,0.17223002,0.6400006
2,0.9126232,1.029679768982266,0.42839664,0.07117024,0.43003443,0.6400006,-0.45643184
3,0.4280099,-0.3503308551437952,0.74704653,0.42839664,0.7430459,-0.45643184,1.0094472
4,1.0104134,1.2805988674793496,-0.8737451,0.74704653,-0.8780638,1.0094472,-1.628095
5,0.3236217,-1.201610922005121,0.66575307,-0.8737451,0.5849902,-1.628095,-1.5183779
6,0.5338637,-0.2881612902415426,0.3185141,0.66575307,0.177542,-1.5183779,-1.1527675
7,1.0282121,1.3181858987944401,-0.016445527,0.3185141,-0.04626116,-1.1527675,-0.3344376
8,0.05109358,-1.3438302880768742,1.5577356,-0.016445527,1.562311,-0.3344376,1.4434991
9,0.34281492,-0.7417803852889958,-1.364874,1.5577356,-1.4443375,1.4434991,-1.5324799
10,0.85234237,0.8032273556642333,-0.76554483,-1.364874,-0.75329447,-1.5324799,-1.2390774
11,0.6465992,0.27140369005410075,0.5074554,-0.76554483,0.5042465,-1.2390774,-0.39266375
12,0.9728617,1.184892090270494,-0.27252224,0.5074554,-0.25859722,-0.39266375,0.5229461
13,0.24906534,-0.8567748850703742,1.3006283,-0.27252224,1.2816701,0.5229461,0.9088061
14,0.75527054,0.5840464175026079,-1.2355583,1.3006283,-1.238191,0.9088061,-0.832923
15,0.8359984,0.7407706482331102,-0.43885309,-1.2355583,-0.4523966,-0.832923,0.30604124
16,0.69661653,0.418421032218427,0.76658434,-0.43885309,0.7809738,0.30604124,0.4838554
17,0.91345036,1.0090557289551318,-0.7451,0.76658434,-0.74625504,0.4838554,-0.12438675
18,0.46832037,-0.28795232269104726,0.67398316,-0.7451,0.65681636,-0.12438675,1.1046033
19,0.94921136,1.3182945684153349,-0.71696186,0.67398316,-0.59847283,1.1046033,-1.3626356
20,0.04613608,-1.3442470180118953,0.9854337,-0.71696186,0.9908452,-1.3626356,-0.5826672
21,0.3060743,-0.7431901514627381,-0.097071186,0.9854337,-0.16771361,-0.5826672,1.0095631
22,0.8379763,0.8007573869483918,0.6390796,-0.097071186,0.6594324,1.0095631,-1.2803117
23,0.65026015,0.277418616215384,0.015877107,0.6390796,0.026721448,-1.2803117,-0.4970818
24,0.98361725,1.1788477670517026,0.40505403,0.015877107,0.37642205,-0.4970818,0.49158525
25,0.2575153,-0.8358305951208886,1.0507296,0.40505403,1.0509284,0.49158525,0.9406822
26,0.7730912,0.6266366958193128,-1.2799939,1.0507296,-1.2782768,0.9406822,-0.95219535
27,0.79072094,0.6597605503357482,-0.5363484,-1.2799939,-0.5380653,-0.95219535,0.14152895
28,0.78572845,0.5933566745457297,0.651673,-0.5363484,0.6621057,0.14152895,0.5748289
29,0.7989567,0.7234818129194206,-0.2902447,0.651673,-0.27328214,0.5748289,-0.12968978
30,0.7164661,0.45724843848916785,0.80176,-0.2902447,0.80193484,-0.12968978,0.7943108
31,0.89445424,0.9528356489580472,-0.79808784,0.80176,-0.80218077,0.7943108,-0.77876526
32,0.49862084,-0.12376789626382534,0.5558298,-0.79808784,0.56428874,-0.77876526,0.5847356
33,1.0199931,1.3670878694136555,-0.47997552,0.5558298,-0.45575997,0.5847356,-0.54244024
34,-0.07280493,-1.534595704648452,1.3718388,-0.47997552,1.3419665,-0.54244024,1.2959576
35,0.020303428,-1.436348540601345,-0.70276845,1.3718388,-0.7287946,1.2959576,-0.4577451
36,0.17742252,-1.0663135341593073,0.93606263,-0.70276845,0.91783226,-0.4577451,1.2431093
37,0.6623685,0.09248203087812838,-0.562153,0.93606263,-0.7297716,1.2431093,-1.5012966
38,0.9801223,1.3198338510760554,0.4153214,-0.562153,0.45484853,-1.5012966,-1.1690457
39,0.01891458,-1.3501533497853002,1.3289198,0.4153214,1.3782588,-1.1690457,-0.0069525354
40,0.28439873,-0.763221454593261,-1.109161,1.3289198,-1.1125672,-0.0069525354,1.2961689
41,0.7742901,0.7650795113068588,-0.16689235,-1.109161,-0.14236093,1.2961689,-1.1066046
42,0.687816,0.36245725807275603,0.8400727,-0.16689235,0.8657774,-1.1066046,-0.10059497
43,0.93479794,1.0828973110773936,-0.9879572,0.8400727,-0.9920653,-0.10059497,0.5207175
44,0.36543742,-0.5166171110863012,0.29653668,-0.9879572,0.2999712,0.5207175,0.71029747
45,0.9597882,1.1285675719619568,0.11785526,0.29653668,0.0966385,0.71029747,-0.6832854
46,0.30167964,-0.6654427701695258,1.205065,0.11785526,1.2247131,-0.6832854,0.8588625
47,0.8832582,0.9289287010560129,-1.3094258,1.205065,-1.2966763,0.8588625,-0.93425
48,0.5446697,-0.05654704255503825,-0.5404217,-1.3094258,-0.51955414,-0.93425,0.3134476
49,1.0237061,1.3659788681508198,0.41289833,-0.5404217,0.41604462,0.3134476,-0.034305375
50,-0.06583923,-1.5301976692406973,1.4329731,0.41289833,1.4058664,-0.034305375,1.6402133
51,0.027350307,-1.4192244094341677,-0.9245899,1.4329731,-0.9597846,1.6402133,-1.6380323
52,0.4458829,-1.0044958388314533,0.52169734,-0.9245899,0.41505837,-1.6380323,-1.5577713
53,0.7102284,0.24988108812963147,0.2540384,0.52169734,0.14957812,-1.5577713,-1.3000364
54,0.97513366,1.2057164682655748,0.13675864,0.2540384,0.13732731,-1.3000364,-0.6404074
55,0.20929772,-0.9296922694464219,1.323878,0.13675864,1.3356789,-0.6404074,0.989832
56,0.7023754,0.42649103633148666,-1.2766955,1.323878,-1.257556,0.989832,-0.95086867
57,0.92358375,0.9977072463902922,-0.5639758,-1.2766955,-0.57681155,-0.95086867,0.07816741
58,0.48051575,-0.25412006998662656,0.8848293,-0.5639758,0.89187884,0.07816741,1.0295138
59,0.986062,1.3343272045354901,-1.2864566,0.8848293,-1.222057,1.0295138,-1.6014923
60,0.081008315,-1.4060803151738717,-0.3393526,-1.2864566,-0.3434901,-1.6014923,-1.4145658
61,0.23796618,-0.9575852870345103,1.3008431,-0.3393526,1.270355,-1.4145658,-0.7785768
62,0.7127474,0.3624098179858877,-1.4130769,1.3008431,-1.303275,-0.7785768,0.46795517
63,0.9389703,1.0829563040894972,-0.9140734,-1.4130769,-0.89226115,0.46795517,-0.13793036
64,0.37517017,-0.5168057041204673,0.44372937,-0.9140734,0.46907255,-0.13793036,1.1999009
65,0.8084843,1.1283525869805178,-0.12005578,0.44372937,0.112353,1.1999009,-1.172803
66,0.31346628,-0.6647289518967084,1.2623518,-0.12005578,1.2641028,-1.172803,-0.10903632
67,0.8820013,0.9300295532300762,-1.1005756,1.2623518,-1.1450882,-0.10903632,0.5892208
68,0.54789513,-0.05960835346845469,-0.02304565,-1.1005756,-0.039726257,0.5892208,0.3202528
69,1.0237052,1.3662956219972948,0.35017774,-0.02304565,0.35212982,0.3202528,-0.045051035
70,-0.06662059,-1.5314534995316373,1.4915911,0.35017774,1.4545811,-0.045051035,1.6398547
71,0.027059674,-1.42410874412183,-1.1279752,1.4915911,-1.1682731,1.6398547,-1.6438333
72,0.49133587,-1.0220471279592782,0.055628404,-1.1279752,-0.08044532,-1.6438333,-1.5795649
73,0.6393893,0.20624550351611923,0.8261911,0.055628404,0.8137287,-1.5795649,-1.3701085
74,0.98882556,1.2440823021893728,-1.0592296,0.8261911,-1.0589055,-1.3701085,-0.81476134
75,0.17549229,-1.0671100737367316,0.23285674,-1.0592296,0.21183738,-0.81476134,0.7480446
76,0.5781223,0.0903862885514523,0.73940855,0.23285674,0.7594049,0.7480446,-0.097120754
77,1.0129669,1.3209001955133528,-0.8805455,0.73940855,-0.865152,-0.097120754,0.41776723
78,0.048372507,-1.3542487519978341,0.6846796,-0.8805455,0.68337345,0.41776723,1.3286507
79,0.637298,-0.7771665218524315,0.59308326,0.6846796,-0.054523677,1.3286507,-1.0969222
80,0.83366597,0.7395995991250048,-0.17642401,0.59308326,-0.20180324,-1.0969222,-0.13837881
81,0.7010156,0.4210765696023073,0.8174606,-0.17642401,0.8495376,-0.13837881,0.81128085
82,0.9171241,1.0053408572608262,-0.87460995,0.8174606,-0.8921219,0.81128085,-0.8582505
83,0.44739443,-0.2768390551503149,0.46544695,-0.87460995,0.49730167,-0.8582505,0.49365386
84,1.0159289,1.3239032468140333,-0.27260274,0.46544695,-0.25200352,0.49365386,-0.32710022
85,0.04184389,-1.3657988359314603,1.4929757,-0.27260274,1.4860934,-0.32710022,1.4568418
86,0.32288873,-0.8167401445816732,-1.6532582,1.4929757,-1.4486336,1.4568418,-1.518313
87,0.8075694,0.664421156698302,-1.6214973,-1.6532582,-1.6159099,-1.518313,-1.1908675
88,0.76234096,0.5837747766531736,-1.5152329,-1.6214973,-1.5125345,-1.1908675,-0.31677327
89,0.8190229,0.7412715478874489,-1.1847026,-1.5152329,-1.1776971,-0.31677327,0.69310546
90,0.702375,0.4172840284966695,-0.28108466,-1.1847026,-0.28976128,0.69310546,-0.186784
91,0.92539954,1.0106404554232256,0.5951144,-0.28108466,0.5806515,-0.186784,0.58200186
92,0.45658788,-0.292704514108362,0.4524214,0.5951144,0.44175223,0.58200186,0.4754306
93,1.0157597,1.3157940142705578,-0.24342056,0.4524214,-0.23175678,0.4754306,-0.28696454
94,0.05063051,-1.334665916119584,1.4973886,-0.24342056,1.487147,-0.28696454,1.4724978
95,0.28580117,-0.7108970256757915,-1.5725869,1.4973886,-1.5020219,1.4724978,-1.6664776
96,0.5798383,0.8559843529532998,-1.3637085,-1.5725869,-1.3473558,-1.6664776,-1.6660362
97,0.57898194,0.1389790316118361,-0.70792913,-1.3637085,-0.666126,-1.6660362,-1.6644436
98,0.5866387,1.2931127194136844,0.31477553,-0.70792913,0.6238066,-1.6644436,-1.659527
99,0.5393231,-1.2485346982270968,1.3681378,0.31477553,0.73966324,-1.659527,-1.6388586
100,0.53659904,-0.4317665522727507,-1.5170399,1.3681378,-1.3949132,-1.6388586,-1.5652039
101,0.9689199,1.2155110179419075,-1.2093676,-1.5170399,-1.1913918,-1.5652039,-1.35072
102,0.19435716,-0.9643948037235763,-0.16719232,-1.2093676,-0.14784029,-1.35072,-0.5772263
103,0.6844908,0.34644535419577105,0.84661895,-0.16719232,0.8691162,-0.5772263,0.69406545
104,0.9462886,1.10246202990628,-1.0192096,0.84661895,-1.0335938,0.69406545,-0.6274243
105,0.35137615,-0.5796803026019978,0.24142778,-1.0192096,0.2325724,-0.6274243,0.9086722
106,0.92326653,1.051304342626496,0.23359907,0.24142778,0.23943958,0.9086722,-1.1587956
107,0.40204525,-0.41697400707097726,1.0000447,0.23359907,0.99830925,-1.1587956,-0.10748593
108,0.9930975,1.2286703675602235,-1.5606741,1.0000447,-1.5672573,-0.10748593,0.46233344
109,0.18460137,-1.0114284353371106,-1.2731961,-1.5606741,-1.2795981,0.46233344,1.0812439
110,0.64158726,0.23274522642738918,-0.47412685,-1.2731961,-0.47060415,1.0812439,-1.0825751
111,0.9821938,1.2213984325618925,0.48741972,-0.47412685,0.47723338,-1.0825751,-0.18621987
112,0.19135833,-0.9853793348347888,1.0337267,0.48741972,1.0301839,-0.18621987,1.3829957
113,0.6158058,0.2964578780247781,-0.98572665,1.0337267,-0.9185957,1.3829957,-1.1606917
114,0.9780934,1.1590688334813857,-0.008179592,-0.98572665,-0.0067729354,-1.1606917,-0.3283539
115,0.2666835,-0.7679866281568836,1.298557,-0.008179592,1.329236,-0.3283539,1.2390211
116,0.75689423,0.7564320593936326,-1.1046287,1.298557,-1.2412345,1.2390211,-1.3229858
117,0.67578614,0.3825489749896667,-0.099460766,-1.1046287,-0.09770569,-1.3229858,-0.61850595
118,0.9426255,1.0573642250532969,0.5310227,-0.099460766,0.5217568,-0.61850595,0.45438597
119,0.39004758,-0.4358769192587306,0.64628,0.5310227,0.64623475,0.45438597,0.76019704
120,0.9957978,1.2117491386728245,-0.5846922,0.64628,-0.6196772,0.76019704,-0.8623269
121,0.22391856,-0.9510355313194107,1.0681549,-0.5846922,1.0440297,-0.8623269,0.6337048
122,0.68846774,0.37764667778218214,-1.1499457,1.0681549,-1.1611701,0.6337048,-0.0357533
123,0.92580724,1.063695133342366,-0.29321623,-1.1499457,-0.2882385,-0.0357533,0.49319035
124,0.3847644,-0.4557315936424671,1.1412725,-0.29321623,1.1408911,0.49319035,0.7158995
125,0.9864495,1.1929327956705487,-1.3307972,1.1412725,-1.3083037,0.7158995,-0.73852074
