,cc_pred,cc_valid,x_valid,x_past_valid,x_pred,Y_1_valid,Y_2_valid
0,3.6049712,0.34252455795962017,3.7794917,0.43511212,3.759263,1.2245861,2.6985958
1,1.9661933,-1.1097117974733268,2.0584931,3.7794917,2.1381083,2.6985958,0.6357763
2,4.8190036,1.6120352038341734,2.0624819,2.0584931,1.9372625,0.6357763,4.6804457
3,4.485765,1.1363454990739614,1.7874386,2.0624819,1.7642374,4.6804457,1.1608804
4,3.5475426,0.29474063680589346,1.7239741,1.7874386,0.86833286,1.1608804,2.7384908
5,1.8684868,-1.1942525810529971,-0.9769649,1.7239741,-0.93025637,2.7384908,0.76866645
6,4.7808566,1.5887263355675871,1.0745964,-0.9769649,-0.4314251,0.76866645,4.4812856
7,4.406969,1.0951067321407708,3.2459414,1.0745964,3.203846,4.4812856,0.93420935
8,3.457057,0.22177974146255552,0.50504833,3.2459414,0.58532906,0.93420935,2.9719386
9,1.6953169,-1.323337242045056,2.7323406,0.50504833,2.6972237,2.9719386,1.2016183
10,4.579535,1.2918316152858522,-0.87059695,2.7323406,-0.75344276,1.2016183,3.624133
11,3.9048295,0.5698314577961616,0.8000419,-0.87059695,0.7073355,3.624133,0.28651744
12,2.4085858,-0.707553436224061,2.6381507,0.8000419,2.6131144,0.28651744,2.9594436
13,4.2260675,0.900524257008548,-0.79055023,2.6381507,-0.7199602,2.9594436,-0.91147995
14,3.0957026,-0.12248156069445404,1.3116988,-0.79055023,1.6775846,-0.91147995,1.5583448
15,1.1116444,-1.9324149304766884,-1.1778576,1.3116988,-1.1779242,1.5583448,-0.108994514
16,3.0841687,-0.1090470681069024,0.8407123,-1.1778576,1.0092268,-0.108994514,4.051006
17,1.1190475,-1.90864621282179,1.8977815,0.8407123,2.645958,4.051006,3.1921468
18,3.1973524,-0.054379017500635854,-1.3609904,1.8977815,-1.3295536,3.1921468,0.29898018
19,1.1707673,-1.8119258155953188,2.772277,-1.3609904,2.584754,0.29898018,1.9017327
20,3.4286027,0.16807789612024815,-0.1750732,2.772277,-0.11877346,1.9017327,-1.6312826
21,1.7707461,-1.4183481991891391,3.6987827,-0.1750732,3.7533474,-1.6312826,3.7266605
22,4.436068,1.0733064138544612,0.70266867,3.6987827,0.78368855,3.7266605,-0.051406074
23,3.3993275,0.1832099475713919,3.288045,0.70266867,3.2555723,-0.051406074,4.2497325
24,1.6633571,-1.3915761081601916,1.4807518,3.288045,1.5439119,4.2497325,2.9696727
25,4.4709525,1.1348822232210403,2.6592064,1.4807518,2.6278057,2.9696727,-1.1187707
26,3.5758314,0.292151764143032,-0.41485825,2.6592064,-0.3636818,-1.1187707,0.89108145
27,1.8528835,-1.1988328942257513,4.182623,-0.41485825,4.1535425,0.89108145,1.6902282
28,4.8422623,1.5781916152702533,1.142855,4.182623,1.3147936,1.6902282,3.2426054
29,4.401231,1.0764683808454862,3.1330113,1.142855,3.0987673,3.2426054,-0.6997937
30,3.4064155,0.18880419686320618,0.35430467,3.1330113,0.439332,-0.6997937,1.5471435
31,1.6233121,-1.3816785901823667,2.925457,0.35430467,2.8868284,1.5471435,-0.64310986
32,4.4841943,1.1576465145700376,-0.5050244,2.925457,-0.41303444,-0.64310986,0.7093925
33,3.5798268,0.33242704883741364,1.4826816,-0.5050244,2.2355194,0.7093925,3.3760018
34,1.9442313,-1.1275766213049225,-1.376617,1.4826816,-1.3339505,3.3760018,1.5558255
35,4.909014,1.6436421998439192,-1.1405408,-1.376617,-0.9473634,1.5558255,3.4835095
36,4.528795,1.192265568937358,-1.1849681,-1.1405408,-0.9738641,3.4835095,-0.48775056
37,3.6849372,0.3936761450257486,0.12273123,-1.1849681,0.19370651,-0.48775056,1.6367345
38,2.061514,-1.019212835740945,3.4778354,0.12273123,3.4532251,1.6367345,-0.8653523
39,4.7612314,1.451921656153804,0.15709502,3.4778354,0.28643036,-0.8653523,0.1356555
40,4.170786,0.8530676839471543,4.485291,0.15709502,4.4591694,0.1356555,4.6317935
41,3.0692644,-0.20644318995691946,2.6062849,4.485291,2.658187,4.6317935,2.36186
42,3.259579,0.013944590535913076,-0.33688077,2.6062849,-0.28617668,2.36186,-0.87247777
43,1.3368413,-1.6910455859921936,3.7872508,-0.33688077,3.7780943,-0.87247777,3.5776308
