,r2,L
1,0.6753396706398983,0.05623413251903491
2,0.6714007193657925,0.05623413251903491
3,0.689764440331152,0.05623413251903491
4,0.6351671271383144,0.05623413251903491
5,0.6390102860331597,0.05623413251903491
6,0.7426055575129992,0.05623413251903491
7,0.7162988332740929,0.05623413251903491
8,0.7054170003408824,0.05623413251903491
9,0.6758340059241996,0.05623413251903491
10,0.5980758693466197,0.05623413251903491
11,0.6249954407028901,0.05623413251903491
12,0.8759325387523672,0.05623413251903491
13,0.7159986788537823,0.05623413251903491
14,0.6397445571796451,0.05623413251903491
0,0.5278206461153508,0.1
1,0.5745985997586509,0.1
2,0.6215195728592007,0.1
3,0.49206384122208124,0.1
4,0.5718920406651521,0.1
5,0.5671875086651288,0.1
6,0.629882528327761,0.1
7,0.67143959955048,0.1
8,0.4857999054220942,0.1
9,0.6087173949904398,0.1
10,0.3885623583887348,0.1
11,0.5845209993570388,0.1
12,0.7081938748961667,0.1
13,0.6018513755559852,0.1
14,0.5838032739513788,0.1
0,0.451128190795283,0.1778279410038923
1,0.2742374691403031,0.1778279410038923
2,0.5237599931604724,0.1778279410038923
3,0.48063814773366287,0.1778279410038923
4,0.45262382349644337,0.1778279410038923
5,0.41424080352521087,0.1778279410038923
6,0.4343596256646322,0.1778279410038923
7,0.3990766500645358,0.1778279410038923
8,0.468042775051905,0.1778279410038923
9,0.37887920050749624,0.1778279410038923
10,0.14341625574613698,0.1778279410038923
11,0.23701998287187992,0.1778279410038923
12,0.4905437096421099,0.1778279410038923
13,0.4300355532274162,0.1778279410038923
14,0.2369116419490151,0.1778279410038923
0,0.26535771372750666,0.31622776601683794
1,0.15802889194703282,0.31622776601683794
2,0.33648714498367904,0.31622776601683794
3,0.34838442616398735,0.31622776601683794
4,0.14795835634513316,0.31622776601683794
5,0.33333517634831333,0.31622776601683794
6,0.31891268346814017,0.31622776601683794
7,0.19586155420386084,0.31622776601683794
8,0.3950070097312073,0.31622776601683794
9,0.37030842892340915,0.31622776601683794
10,0.1398268671976691,0.31622776601683794
11,0.19777338646238518,0.31622776601683794
12,0.3057850462064905,0.31622776601683794
13,0.24165936898868356,0.31622776601683794
14,0.19129138004330365,0.31622776601683794
0,0.14703447263807634,0.5623413251903491
1,0.1703634078526827,0.5623413251903491
2,0.1640946041326784,0.5623413251903491
3,0.12113722176834779,0.5623413251903491
4,0.10790300019953465,0.5623413251903491
5,0.25244703113696526,0.5623413251903491
6,0.15492053196632213,0.5623413251903491
7,0.15528660652653242,0.5623413251903491
8,0.14571456017190432,0.5623413251903491
9,0.09264732387633182,0.5623413251903491
10,0.1298823683801122,0.5623413251903491
11,0.07223858300829147,0.5623413251903491
12,0.14836781041328032,0.5623413251903491
13,0.19225990903803497,0.5623413251903491
14,0.13548575879376312,0.5623413251903491
0,0.11168763326249147,1.0
1,0.17023869484243406,1.0
2,0.12744806340045023,1.0
3,0.12134825434298813,1.0
4,0.15049275909196513,1.0
5,0.07924882736357598,1.0
6,0.10510265589386492,1.0
7,0.12800790436524245,1.0
8,0.11363366910337813,1.0
9,0.10413608597917229,1.0
10,0.10952401151216072,1.0
